TEG_recirc_rate,no_of_equili_stages,temp,stripping_rate,water_content_spec
7.114,1,360,0,1
7.250,1,360,0,1
7.386,1,360,0,1
7.521,1,360,0,1
7.657,1,360,0,1
7.793,1,360,0,1
7.929,1,360,0,1
8.064,1,360,0,1
8.200,1,360,0,1
1.700,1,380,0,1
4.764,1,380,0,1
4.886,1,380,0,1
5.007,1,380,0,1
5.129,1,380,0,1
5.250,1,380,0,1
5.371,1,380,0,1
5.493,1,380,0,1
5.614,1,380,0,1
5.736,1,380,0,1
5.857,1,380,0,1
5.979,1,380,0,1
6.100,1,380,0,1
6.221,1,380,0,1
6.343,1,380,0,1
6.464,1,380,0,1
6.586,1,380,0,1
6.707,1,380,0,1
6.829,1,380,0,1
6.950,1,380,0,1
7.071,1,380,0,1
7.193,1,380,0,1
7.314,1,380,0,1
7.436,1,380,0,1
7.557,1,380,0,1
7.679,1,380,0,1
7.800,1,380,0,1
1.700,1,400,0,1
1.718,1,400,0,1
1.736,1,400,0,1
1.754,1,400,0,1
1.771,1,400,0,1
1.789,1,400,0,1
1.807,1,400,0,1
1.825,1,400,0,1
1.843,1,400,0,1
1.861,1,400,0,1
1.879,1,400,0,1
1.896,1,400,0,1
1.914,1,400,0,1
1.932,1,400,0,1
1.950,1,400,0,1
1.968,1,400,0,1
1.986,1,400,0,1
2.004,1,400,0,1
2.021,1,400,0,1
2.039,1,400,0,1
2.057,1,400,0,1
2.075,1,400,0,1
2.093,1,400,0,1
2.111,1,400,0,1
2.129,1,400,0,1
2.146,1,400,0,1
2.164,1,400,0,1
2.182,1,400,0,1
2.200,1,400,0,1
2.204,1,400,0,1
2.207,1,400,0,1
2.211,1,400,0,1
2.214,1,400,0,1
3.050,1,400,0,1
3.057,1,400,0,1
3.064,1,400,0,1
3.071,1,400,0,1
3.079,1,400,0,1
3.086,1,400,0,1
3.093,1,400,0,1
3.100,1,400,0,1
3.107,1,400,0,1
3.114,1,400,0,1
3.121,1,400,0,1
3.129,1,400,0,1
3.136,1,400,0,1
3.143,1,400,0,1
3.150,1,400,0,1
3.157,1,400,0,1
3.164,1,400,0,1
3.171,1,400,0,1
3.179,1,400,0,1
3.186,1,400,0,1
3.193,1,400,0,1
3.200,1,400,0,1
3.232,1,400,0,1
3.264,1,400,0,1
3.296,1,400,0,1
3.329,1,400,0,1
3.361,1,400,0,1
3.393,1,400,0,1
3.425,1,400,0,1
3.457,1,400,0,1
3.489,1,400,0,1
3.521,1,400,0,1
3.554,1,400,0,1
3.586,1,400,0,1
3.618,1,400,0,1
3.650,1,400,0,1
3.682,1,400,0,1
3.714,1,400,0,1
3.746,1,400,0,1
3.779,1,400,0,1
3.811,1,400,0,1
3.843,1,400,0,1
3.875,1,400,0,1
3.907,1,400,0,1
3.939,1,400,0,1
3.971,1,400,0,1
4.004,1,400,0,1
4.036,1,400,0,1
4.068,1,400,0,1
4.100,1,400,0,1
4.107,1,400,0,1
4.114,1,400,0,1
4.121,1,400,0,1
4.129,1,400,0,1
4.136,1,400,0,1
4.143,1,400,0,1
4.150,1,400,0,1
4.157,1,400,0,1
4.164,1,400,0,1
4.171,1,400,0,1
4.179,1,400,0,1
4.186,1,400,0,1
4.193,1,400,0,1
4.200,1,400,0,1
4.207,1,400,0,1
4.214,1,400,0,1
4.221,1,400,0,1
4.229,1,400,0,1
4.236,1,400,0,1
4.243,1,400,0,1
4.250,1,400,0,1
4.257,1,400,0,1
4.264,1,400,0,1
4.271,1,400,0,1
4.279,1,400,0,1
4.286,1,400,0,1
4.293,1,400,0,1
4.300,1,400,0,1
4.418,1,400,0,1
4.536,1,400,0,1
4.654,1,400,0,1
4.771,1,400,0,1
4.889,1,400,0,1
5.007,1,400,0,1
5.125,1,400,0,1
5.243,1,400,0,1
5.361,1,400,0,1
5.479,1,400,0,1
5.596,1,400,0,1
5.714,1,400,0,1
5.832,1,400,0,1
5.950,1,400,0,1
6.068,1,400,0,1
6.186,1,400,0,1
6.304,1,400,0,1
6.421,1,400,0,1
6.539,1,400,0,1
6.657,1,400,0,1
6.775,1,400,0,1
6.893,1,400,0,1
7.011,1,400,0,1
7.129,1,400,0,1
7.246,1,400,0,1
7.364,1,400,0,1
7.482,1,400,0,1
7.600,1,400,0,1
1.500,2,360,0,1
2.929,2,360,0,1
2.943,2,360,0,1
5.514,2,360,0,1
5.636,2,360,0,1
5.757,2,360,0,1
5.879,2,360,0,1
6.000,2,360,0,1
6.121,2,360,0,1
6.243,2,360,0,1
6.364,2,360,0,1
6.486,2,360,0,1
6.607,2,360,0,1
6.729,2,360,0,1
6.850,2,360,0,1
6.971,2,360,0,1
7.093,2,360,0,1
7.214,2,360,0,1
7.336,2,360,0,1
7.457,2,360,0,1
7.579,2,360,0,1
7.700,2,360,0,1
1.300,2,380,0,1
1.600,2,380,0,1
1.621,2,380,0,1
1.643,2,380,0,1
1.664,2,380,0,1
